Contract_number	Client_class
130613-104058	1.0
130618-103116	1.0
130713-124321	1.0
130719-111334	1.0
130605-142034	2.0
130626-114212	4.0
130731-175649	4.0
130714-093047	3.0
130702-094717	3.0
130601-154237	2.0
130707-172144	1.0
130721-104332	2.0
130726-114809	1.0
130617-163603	1.0
130702-154734	1.0
130605-124106	1.0
130704-092135	1.0
130723-101204	1.0
130711-134227	3.0
130620-113626	1.0
130702-111241	1.0
130715-101813	1.0
130727-114358	1.0
130625-152200	2.0
130620-122350	1.0
130723-132452	1.0
130627-154458	2.0
130716-091946	3.0
130626-092603	1.0
130723-092205	1.0
130606-121243	1.0
130619-094031	1.0
130617-163933	1.0
130727-134813	3.0
130627-124041	1.0
130727-091603	1.0
130611-152005	2.0
130625-175854	2.0
130722-092019	2.0
130626-160218	1.0
130725-102050	1.0
130611-091404	1.0
130627-130647	1.0
130728-105146	1.0
130620-103038	1.0
130627-104333	2.0
130701-104307	2.0
130726-093610	3.0
130629-095001	1.0
130704-102311	1.0
130717-144622	2.0
130607-121351	1.0
130621-114808	1.0
130706-125656	1.0
130712-142348	1.0
130727-172200	1.0
130619-161654	1.0
130630-094731	1.0
130713-102415	1.0
130627-125526	1.0
130720-143009	2.0
130707-101820	2.0
130607-131233	1.0
130708-165532	2.0
130713-172147	1.0
130727-123933	2.0
130613-101221	1.0
130704-101218	1.0
130719-184834	1.0
130625-173622	3.0
130731-180805	3.0
130626-144804	4.0
130605-181407	2.0
130621-130954	2.0
130706-122011	2.0
130719-130909	1.0
130627-122742	2.0
130720-094449	2.0
130623-103847	1.0
130722-152558	1.0
130607-154822	1.0
130626-165603	1.0
130708-171318	1.0
130730-102112	1.0
130602-142552	3.0
130601-104446	1.0
130619-115454	1.0
130702-162611	1.0
130709-170227	1.0
130724-114642	1.0
130625-102551	1.0
130706-132051	2.0
130607-172716	1.0
130723-120133	1.0
130722-150825	3.0
130604-120557	2.0
130713-112110	2.0
130726-123305	2.0
130617-134527	1.0
130603-154620	2.0
130624-103725	2.0
130601-104843	1.0
130614-121801	1.0
130704-121232	1.0
130726-160017	3.0
130621-094313	1.0
130721-091158	1.0
130726-170045	2.0
130612-123442	1.0
130630-121002	1.0
130723-105642	1.0
130711-171225	1.0
130729-175610	1.0
130607-103841	1.0
130705-080847	1.0
130624-122320	1.0
130708-142416	1.0
130720-101013	1.0
130729-140413	1.0
130609-101510	1.0
130711-095352	1.0
130731-135410	1.0
130616-102553	3.0
130714-114738	3.0
130603-153432	1.0
130620-102131	1.0
130701-115905	1.0
130727-111202	3.0
130609-154721	1.0
130625-163703	1.0
130727-100501	1.0
130606-162209	1.0
130624-143101	1.0
130707-103129	3.0
130613-123220	2.0
130713-101421	2.0
130602-112840	1.0
130707-104144	1.0
130727-163436	1.0
130612-112612	1.0
130708-105704	3.0
130603-110716	1.0
130711-122505	1.0
130715-142200	1.0
130729-123408	1.0
130606-115600	1.0
130710-143327	1.0
130608-145632	1.0
130724-164431	1.0
130618-095153	1.0
130630-143223	1.0
130717-140932	1.0
130612-100942	1.0
130708-101607	1.0
130730-182538	1.0
130616-102726	1.0
130625-174811	2.0
130709-144820	1.0
130716-110349	1.0
130721-184956	2.0
130701-153746	1.0
130619-100918	1.0
130605-124226	1.0
130707-104913	1.0
130727-131554	1.0
130609-112126	1.0
130624-114256	1.0
130727-120256	1.0
130702-165751	2.0
130727-094338	2.0
130624-105040	2.0
130609-135837	1.0
130709-092330	1.0
130730-162603	1.0
130605-094848	1.0
130713-185535	1.0
130606-200358	1.0
130615-145548	3.0
130717-143858	2.0
130615-123817	3.0
130625-151703	1.0
130716-120149	1.0
130608-152404	1.0
130615-164623	2.0
130726-172517	2.0
130609-133652	1.0
130605-181342	1.0
130609-141205	2.0
130620-113230	2.0
130727-155951	1.0
130718-175728	2.0
130614-175801	1.0
130719-104340	1.0
130615-095306	2.0
130715-144913	2.0
130606-150448	1.0
130702-145427	1.0
130717-160437	1.0
130617-184212	1.0
130624-123550	1.0
130613-111214	1.0
130707-180129	1.0
130715-121253	1.0
130609-102300	2.0
130718-104624	2.0
130608-092145	1.0
130628-100844	1.0
130601-114821	1.0
130611-104802	1.0
130703-183941	1.0
130717-155306	1.0
130724-145951	1.0
130728-165513	1.0
130608-112157	1.0
130706-103023	1.0
130713-140210	1.0
130614-171344	1.0
130710-154111	1.0
130720-102600	1.0
130614-124231	1.0
130617-184633	1.0
130717-184430	1.0
130610-110319	1.0
130706-100818	1.0
130727-152825	2.0
130611-131240	1.0
130716-110727	1.0
130604-161436	2.0
130613-125833	3.0
130617-115811	1.0
130703-174343	1.0
130607-101712	1.0
130627-154037	1.0
130701-150230	1.0
130614-090858	1.0
130627-104640	1.0
130721-101307	1.0
130730-144548	2.0
130606-113736	3.0
130625-091605	4.0
130725-115623	2.0
130616-110122	2.0
130718-153339	2.0
130610-130807	1.0
130616-161413	1.0
130625-173706	2.0
130616-140305	1.0
130603-100954	1.0
130614-101129	1.0
130629-101114	1.0
130705-102045	1.0
130727-140518	1.0
130630-160010	1.0
130728-144814	1.0
130608-182719	1.0
130626-194537	1.0
130710-093002	1.0
130730-135908	1.0
130702-090756	1.0
130731-163651	4.0
130724-152925	1.0
130603-104549	4.0
130613-145705	1.0
130720-105545	1.0
130710-171304	2.0
130606-124649	2.0
130605-140111	2.0
130615-160658	1.0
130623-085216	1.0
130711-162752	1.0
130723-102139	4.0
130607-190911	3.0
130718-170249	2.0
130619-122342	4.0
130614-124743	1.0
130605-170126	1.0
130716-141110	1.0
130607-164737	1.0
130708-174553	1.0
130617-134706	2.0
130604-164532	1.0
130710-105121	2.0
130623-151629	2.0
130713-105657	2.0
130725-171352	3.0
130723-170312	3.0
130621-113747	4.0
130615-103211	4.0
130604-161321	1.0
130622-115653	1.0
130707-130919	1.0
130731-152312	1.0
130607-175308	2.0
130627-174728	2.0
130717-125416	1.0
130723-113551	2.0
130701-163025	1.0
130603-170149	1.0
130706-121333	2.0
130729-105507	2.0
130612-183155	2.0
130712-130613	2.0
130702-144427	2.0
130708-105032	3.0
130605-182139	1.0
130615-190431	3.0
130705-161344	3.0
130619-081234	2.0
130719-081107	2.0
130726-141204	2.0
130625-122554	2.0
130706-141411	2.0
130714-181355	2.0
130608-103233	1.0
130626-103314	1.0
130719-135537	1.0
130608-165518	4.0
130602-150707	1.0
130630-145421	1.0
130610-114853	1.0
130702-113510	1.0
130719-152212	3.0
130716-093237	2.0
130720-092837	1.0
130709-103557	1.0
130615-131638	4.0
130603-103651	1.0
130615-090541	1.0
130622-114635	2.0
130616-123004	2.0
130625-141521	1.0
130630-165134	2.0
130618-114435	4.0
130623-124532	4.0
130603-100400	3.0
130626-123301	1.0
130603-105856	1.0
130710-095049	2.0
130601-142009	1.0
130611-121217	1.0
130703-131944	1.0
130710-144645	1.0
130609-103515	2.0
130628-112907	2.0
130707-170737	1.0
130608-125956	1.0
130710-120027	1.0
130725-111430	1.0
130728-113600	2.0
130730-164119	2.0
130629-103012	2.0
130731-185631	1.0
130705-153513	1.0
130614-120755	1.0
130717-164312	1.0
130627-175748	2.0
130718-165356	3.0
130618-095038	1.0
130619-170107	1.0
130714-112812	1.0
130731-175833	1.0
130708-175642	2.0
130722-141403	2.0
130628-163942	2.0
130729-174653	3.0
130606-122710	1.0
130628-131727	1.0
130619-174435	2.0
130717-162502	1.0
130626-135310	2.0
130730-140826	1.0
130615-155058	2.0
130731-095229	3.0
130706-134029	2.0
130608-134729	1.0
130614-114243	2.0
130720-171922	4.0
130715-103717	1.0
130613-134121	2.0
130728-095034	3.0
130626-091430	4.0
130607-110546	2.0
130707-133534	1.0
130730-133620	1.0
130708-104122	2.0
130613-171541	1.0
130716-145019	2.0
130725-122055	4.0
130606-184152	2.0
130711-141314	2.0
130615-101210	1.0
130628-170436	1.0
130729-102053	1.0
130627-125209	1.0
130725-110003	1.0
130613-155124	1.0
130621-104115	1.0
130709-101612	2.0
130604-122629	2.0
130613-152512	1.0
130628-090313	1.0
130724-165333	1.0
130612-151134	2.0
130724-110129	2.0
130708-174548	4.0
130705-130445	2.0
130709-183228	1.0
130725-132638	1.0
130720-104253	2.0
130618-122500	1.0
130710-100209	1.0
130626-121444	2.0
130715-105828	4.0
130701-164527	2.0
130620-091307	1.0
130704-152327	4.0
130613-163545	1.0
130626-191818	1.0
130720-141928	1.0
130730-134815	1.0
130611-152839	1.0
130619-142426	2.0
130624-114457	2.0
130711-182630	1.0
130714-174700	1.0
130605-173129	1.0
130627-163219	1.0
130709-174822	2.0
130724-172442	1.0
130620-123852	2.0
130708-134256	2.0
130729-154551	2.0
130621-133113	1.0
130712-092114	1.0
130601-164751	2.0
130709-183626	2.0
130607-101228	1.0
130709-102910	1.0
130703-141444	2.0
130612-100526	2.0
130608-135317	1.0
130625-125836	1.0
130704-102106	1.0
130605-093924	4.0
130715-111120	4.0
130623-104655	1.0
130731-130032	2.0
130602-094720	1.0
130618-095813	1.0
130703-101415	1.0
130711-132208	1.0
130711-161343	1.0
130726-113418	1.0
130617-161951	2.0
130622-165843	3.0
130704-171610	3.0
130720-132644	3.0
130617-104137	1.0
130717-125534	1.0
130610-161717	1.0
130622-114916	1.0
130627-150614	1.0
130709-171442	1.0
130728-103759	1.0
130605-155755	2.0
130706-111714	2.0
130616-161123	2.0
130728-112558	2.0
130615-100516	1.0
130722-152811	1.0
130605-092413	1.0
130601-095152	2.0
130608-114609	2.0
130616-105523	3.0
130624-122208	2.0
130701-151351	3.0
130709-142547	2.0
130719-115214	2.0
130728-113936	2.0
130719-145057	2.0
130612-152319	1.0
130722-125716	1.0
130610-180920	1.0
130602-133831	1.0
130609-105950	1.0
130720-131613	1.0
130727-101513	1.0
130611-122101	2.0
130628-183824	1.0
130708-135330	2.0
130725-100401	2.0
130704-095018	1.0
130714-112829	1.0
130716-130115	2.0
130722-151331	2.0
130625-181217	1.0
130628-105303	1.0
130630-190758	1.0
130724-182209	1.0
130719-201415	2.0
130720-194358	2.0
130609-101015	1.0
130713-111725	1.0
130715-164341	4.0
130628-140238	1.0
130709-175536	2.0
130723-142403	1.0
130725-165920	1.0
130729-173011	2.0
130626-103223	2.0
130616-091739	1.0
130626-092517	1.0
130708-092603	1.0
130715-101738	1.0
130728-091332	1.0
130606-150319	2.0
130605-121558	1.0
130620-173016	1.0
130627-144058	1.0
130625-173913	1.0
130711-174520	1.0
130728-093434	1.0
130719-113915	2.0
130606-120241	1.0
130625-170950	2.0
130723-153143	2.0
130603-123024	1.0
130610-092927	1.0
130626-111400	1.0
130710-090811	1.0
130726-182424	1.0
130727-110932	2.0
130614-091147	2.0
130626-092509	1.0
130719-135032	1.0
130731-161701	1.0
130603-114618	2.0
130721-141930	2.0
130617-091035	2.0
130710-090851	2.0
130622-110727	2.0
130716-094620	1.0
130619-110923	2.0
130706-173134	2.0
130620-113755	2.0
130711-105119	4.0
130603-134240	1.0
130609-165334	2.0
130613-182502	1.0
130607-170852	2.0
130623-155054	1.0
130714-114524	2.0
130701-160647	1.0
130730-180528	1.0
130718-123400	2.0
130606-115501	2.0
130603-095729	2.0
130610-160421	2.0
130625-160423	1.0
130710-165217	4.0
130723-140105	2.0
130628-120421	1.0
130730-105621	2.0
130719-184143	3.0
130602-173843	1.0
130610-100324	1.0
130712-164945	1.0
130717-124703	1.0
130728-140712	1.0
130717-163125	1.0
130601-120642	1.0
130701-121136	1.0
130709-095252	1.0
130715-122851	1.0
130724-094027	2.0
130615-120236	3.0
130718-120706	2.0
130730-103427	3.0
130714-160455	1.0
130724-170438	1.0
130612-143602	4.0
130728-115400	1.0
130714-114014	1.0
130719-114138	2.0
130613-170243	1.0
130715-092700	1.0
130706-115109	3.0
130613-113106	2.0
130702-150411	2.0
130716-175542	2.0
130612-133525	1.0
130712-110821	1.0
130629-150501	3.0
130712-184308	2.0
130730-150858	3.0
130615-120846	1.0
130722-131046	1.0
130620-173405	1.0
130624-163826	1.0
130718-140919	2.0
130713-093541	1.0
130602-143608	2.0
130607-172453	2.0
130707-090330	3.0
130608-105515	1.0
130614-100606	1.0
130704-120112	1.0
130713-095938	1.0
130709-082817	2.0
130727-081317	2.0
130606-111828	2.0
130603-190929	2.0
130613-141946	3.0
130722-101549	3.0
130703-125844	2.0
130719-100929	2.0
130610-150342	1.0
130711-135428	2.0
130613-095354	1.0
130702-100749	1.0
130617-121621	1.0
130629-133826	1.0
130717-135745	1.0
130610-174533	2.0
130614-152216	1.0
130623-184636	1.0
130612-172122	1.0
130710-163555	1.0
130612-130537	1.0
130716-123636	1.0
130619-123139	2.0
130629-131717	3.0
130604-121919	2.0
130730-105510	1.0
130624-111351	2.0
130720-115408	2.0
130618-155828	2.0
130702-135743	2.0
130614-174109	1.0
130624-173525	1.0
130706-090916	1.0
130717-180021	1.0
130724-180134	1.0
130628-132744	4.0
130712-135553	4.0
130724-100510	4.0
130716-142613	3.0
130716-184331	1.0
130624-132127	2.0
130708-120817	2.0
130730-115029	2.0
130604-103837	1.0
130624-172123	3.0
130617-113042	2.0
130707-110529	2.0
130611-114942	1.0
130702-103716	1.0
130727-101153	1.0
130602-163504	1.0
130615-081754	1.0
130614-161831	2.0
130731-105740	1.0
130602-163155	1.0
130612-160456	1.0
130705-151238	2.0
130712-162714	1.0
130730-120449	2.0
130619-165150	1.0
130717-122904	1.0
130628-093314	2.0
130603-173746	1.0
130624-165217	1.0
130724-172326	1.0
130713-095537	2.0
130627-155955	2.0
130611-162650	1.0
130708-184258	2.0
130713-103637	2.0
130727-094218	2.0
130723-093745	2.0
130730-121607	4.0
130717-134355	1.0
130705-165234	3.0
130605-103409	1.0
130701-142525	1.0
130718-095632	2.0
130730-133332	1.0
130721-163426	4.0
130728-165311	4.0
130630-122428	1.0
130627-152850	1.0
130711-164352	4.0
130720-135937	1.0
130622-111632	3.0
130713-155436	2.0
130604-175405	1.0
130627-161638	3.0
130711-173556	2.0
130611-153913	1.0
130624-102358	2.0
130712-095930	2.0
130724-094942	2.0
130624-091313	3.0
130707-132517	1.0
130714-172743	1.0
130720-110203	1.0
130615-184813	3.0
130611-141539	1.0
130624-102202	1.0
130709-145518	2.0
130604-134754	1.0
130629-193424	1.0
130625-172131	1.0
130726-130618	1.0
130729-153733	2.0
130729-112119	1.0
130711-140802	2.0
130608-163450	2.0
130622-123617	2.0
130630-112206	1.0
130612-181723	2.0
130713-143753	1.0
130711-164040	1.0
130605-105204	1.0
130703-151502	2.0
130701-155448	1.0
130712-111201	1.0
130728-091344	1.0
130602-161403	1.0
130601-102005	2.0
130618-093814	1.0
130624-174649	2.0
130730-122306	1.0
130608-092702	2.0
130719-085335	1.0
130618-122927	4.0
130719-113618	4.0
130712-135715	1.0
130625-123735	2.0
130727-123913	3.0
130626-094613	2.0
130610-125226	1.0
130630-160236	1.0
130724-110542	1.0
130613-155506	2.0
130725-182226	1.0
130602-100916	1.0
130612-180903	1.0
130619-172147	1.0
130625-173909	1.0
130713-163346	1.0
130728-152800	1.0
130615-173404	1.0
130623-133448	2.0
130718-140153	1.0
130615-130456	2.0
130626-143715	2.0
130615-162805	1.0
130716-142346	2.0
130615-153200	2.0
130610-152003	4.0
130701-143717	2.0
130624-130548	2.0
130611-140904	1.0
130729-153920	1.0
130604-101632	1.0
130626-095825	1.0
130725-145855	1.0
130709-094348	1.0
130705-101600	2.0
130616-102536	1.0
130705-172104	1.0
130721-110552	1.0
130627-174105	1.0
130704-170235	2.0
130620-162235	3.0
130628-171008	1.0
130709-171737	1.0
130607-114552	1.0
130622-113851	1.0
130719-161051	1.0
130730-091425	1.0
130706-160909	2.0
130624-140412	4.0
130606-165808	3.0
130606-144234	1.0
130626-150025	1.0
130718-171452	1.0
130625-183226	1.0
130708-135534	2.0
130618-104154	1.0
130624-102013	1.0
130615-150958	1.0
130630-095445	2.0
130614-165005	2.0
130709-141411	3.0
130609-095200	1.0
130621-133917	1.0
130717-154831	1.0
130601-194636	1.0
130617-095434	1.0
130630-100548	1.0
130730-095716	2.0
130618-103859	2.0
130713-083425	1.0
130720-111746	1.0
130727-091349	2.0
130611-184627	1.0
130625-173650	1.0
130708-162503	1.0
130602-110039	2.0
130625-105140	2.0
130621-181354	2.0
130717-163917	2.0
130715-161836	1.0
130729-151426	1.0
130609-154555	1.0
130624-184612	1.0
130723-183228	1.0
130610-163825	1.0
130627-170247	2.0
130712-181530	1.0
130726-123406	2.0
130617-144423	2.0
130708-174217	2.0
130617-115926	2.0
130718-131227	1.0
130628-173348	2.0
130619-091213	1.0
130718-160600	2.0
130622-100058	1.0
130712-165031	1.0
130725-173100	1.0
130725-121528	1.0
130715-105144	2.0
130718-110648	1.0
130716-114927	1.0
130610-131618	1.0
130619-110235	2.0
130606-141155	1.0
130627-091529	1.0
130617-104706	1.0
130613-190325	1.0
130629-143446	1.0
130716-104310	1.0
130701-170332	1.0
130712-111506	4.0
130721-142243	2.0
130606-154250	3.0
130615-155541	1.0
130625-160852	1.0
130709-161403	1.0
130613-105737	1.0
130626-172713	2.0
130611-111148	2.0
130611-110750	1.0
130705-163200	1.0
130724-101825	1.0
130708-112624	2.0
130626-161408	3.0
130622-133837	3.0
130613-112425	1.0
130625-124826	4.0
130601-190009	1.0
130611-134602	1.0
130617-110524	1.0
130625-111009	1.0
130707-155013	1.0
130729-175156	2.0
130601-114028	1.0
130629-114319	1.0
130712-170550	3.0
130610-164121	1.0
130622-100728	1.0
130710-112936	1.0
130723-150722	1.0
130620-105624	4.0
130710-112431	4.0
130620-125657	2.0
130608-093051	1.0
130727-130824	1.0
130710-111820	3.0
130610-162715	1.0
130623-102017	1.0
130708-160843	1.0
130610-163246	1.0
130703-160928	1.0
130712-155033	2.0
130725-152915	1.0
130602-102222	1.0
130729-152909	1.0
130617-103630	2.0
130609-111922	2.0
130615-114821	1.0
130728-134441	1.0
130726-095938	1.0
130620-151017	1.0
130627-120222	1.0
130724-171030	2.0
130607-153843	1.0
130615-095429	2.0
130701-110743	1.0
130715-113501	2.0
130614-112536	1.0
130702-141746	1.0
130617-123119	2.0
130605-154909	4.0
130601-171223	1.0
130618-173451	1.0
130701-185414	1.0
130624-173834	3.0
130616-102538	1.0
130626-101729	2.0
130708-112509	2.0
130728-122051	1.0
130621-143528	1.0
130612-104555	1.0
130709-102248	1.0
130607-143446	2.0
130626-183022	3.0
130718-154111	4.0
130625-085418	1.0
130714-094346	1.0
130703-131430	1.0
130611-120330	1.0
130625-091326	2.0
130721-172953	1.0
130727-121250	2.0
130612-173610	2.0
130714-120315	2.0
130624-134742	1.0
130718-142029	1.0
130717-181501	1.0
130623-103641	2.0
130721-105803	2.0
130608-141705	3.0
130611-110602	2.0
130704-103405	1.0
130711-130006	2.0
130617-154544	2.0
130715-181212	4.0
130718-190820	4.0
130603-093424	1.0
130622-150333	1.0
130708-144019	1.0
130603-141248	1.0
130616-112705	1.0
130604-130626	1.0
130718-095847	1.0
130613-151804	2.0
130705-123544	2.0
130703-091423	2.0
130623-102824	2.0
130613-153839	1.0
130627-171943	1.0
130713-153913	1.0
130614-104057	1.0
130625-154117	1.0
130717-103753	2.0
130727-100721	1.0
130604-091107	1.0
130630-130802	1.0
130613-150739	2.0
130724-134115	4.0
130609-120808	1.0
130621-181110	2.0
130705-181954	3.0
130629-145435	1.0
130615-125337	2.0
130625-191136	2.0
130712-093718	2.0
130625-131746	3.0
130726-160531	3.0
130630-102840	1.0
130613-100349	1.0
130629-143623	1.0
130709-101640	1.0
130712-120957	1.0
130710-184230	1.0
130617-111741	1.0
130617-100505	2.0
130630-175249	1.0
130716-152818	1.0
130603-145944	1.0
130630-160628	1.0
130630-105455	2.0
130711-150236	1.0
130620-182125	2.0
130729-143631	2.0
130701-171657	1.0
130616-164855	2.0
130717-131438	2.0
130703-123803	3.0
130613-100210	3.0
130731-124249	2.0
130607-131850	1.0
130625-121456	1.0
130603-120506	1.0
130627-170944	1.0
130715-101430	1.0
130719-180006	2.0
130630-125056	1.0
130701-145300	2.0
130611-152233	1.0
130727-110554	1.0
130629-111227	2.0
130625-092732	2.0
130720-091345	2.0
130621-173236	3.0
130620-104705	1.0
130625-095450	2.0
130604-155805	2.0
130623-171418	3.0
130712-142619	3.0
130714-115512	2.0
130731-154707	4.0
130614-163557	2.0
130707-105638	1.0
130720-180019	2.0
130720-130919	1.0
130630-115111	1.0
130630-161300	1.0
130708-163146	1.0
130724-134841	1.0
130613-120402	1.0
130715-172326	2.0
130627-111350	2.0
130720-094343	2.0
130618-134910	2.0
130627-125745	2.0
130731-170753	1.0
130619-160247	1.0
130708-133305	3.0
130717-100609	1.0
130612-164032	1.0
130614-121836	3.0
130720-174136	1.0
130607-134558	2.0
130705-130146	1.0
130716-110549	1.0
130731-103934	1.0
130620-143037	1.0
130625-092425	1.0
130614-161328	2.0
130630-121309	3.0
130606-091240	1.0
130620-095734	1.0
130703-101450	1.0
130610-143728	4.0
130702-122702	2.0
130607-091024	2.0
130625-133522	1.0
130708-165655	2.0
130723-160926	1.0
130709-091556	1.0
130724-173653	1.0
130610-153444	2.0
130629-090953	1.0
130707-122313	1.0
130715-103005	3.0
130710-161831	4.0
130723-144508	4.0
130630-095050	1.0
130713-145529	1.0
130729-154014	1.0
130614-135543	1.0
130619-094515	1.0
130702-170152	1.0
130717-113758	1.0
130728-092852	1.0
130722-125444	2.0
130708-162608	2.0
130611-130906	3.0
130628-101110	2.0
130701-120831	2.0
130727-095619	2.0
130627-153943	1.0
130728-121052	1.0
130617-162342	1.0
130714-102920	1.0
130601-161129	1.0
130724-120855	1.0
130607-132843	2.0
130612-100615	1.0
130702-105456	1.0
130731-151326	1.0
130609-194506	2.0
130622-192807	2.0
130716-114045	1.0
130607-111211	2.0
130730-102606	1.0
130703-131126	1.0
130725-155834	1.0
130605-183856	2.0
130704-161403	2.0
130610-113959	1.0
130608-100647	2.0
130618-171159	2.0
130710-092407	3.0
130609-103744	2.0
130607-163513	4.0
130626-104544	1.0
130712-112404	2.0
130727-123519	4.0
130628-154358	2.0
130612-120636	2.0
130611-182540	2.0
130614-160913	4.0
130702-153605	1.0
130605-103612	2.0
130706-133850	1.0
130714-154403	1.0
130616-134155	2.0
130711-135812	2.0
130624-161557	4.0
130630-182425	2.0
130715-191756	2.0
130615-194347	1.0
130624-134333	1.0
130731-115911	1.0
130607-121233	2.0
130703-122601	2.0
130731-095627	2.0
130624-113123	2.0
130712-103450	1.0
130607-154758	3.0
130707-174213	2.0
130627-100646	1.0
130716-162405	1.0
130712-133022	1.0
130725-165538	1.0
130607-115836	1.0
130619-175323	2.0
130717-170701	2.0
130613-184604	1.0
130730-183449	1.0
130613-185718	1.0
130729-120424	1.0
130710-102613	3.0
130613-144553	1.0
130608-162412	1.0
130617-192319	1.0
130625-191244	1.0
130628-104007	1.0
130708-092452	1.0
130726-124405	3.0
130713-130906	4.0
130620-164832	1.0
130722-111953	1.0
130612-105551	3.0
130617-152915	1.0
130626-134320	3.0
130718-103431	1.0
130604-104119	2.0
130629-164216	1.0
130617-140638	3.0
130723-110134	3.0
130730-122732	3.0
130615-133424	1.0
130627-131205	2.0
130601-173201	1.0
130629-100134	2.0
130703-100323	2.0
130727-093336	2.0
130630-142721	2.0
130617-144548	1.0
130717-102825	1.0
130725-123518	2.0
130619-145035	2.0
130711-120015	2.0
130726-105409	2.0
130711-180827	2.0
130617-103831	1.0
130718-093156	1.0
130609-112029	1.0
130627-112712	2.0
130606-120650	1.0
130615-141641	1.0
130702-102118	1.0
130603-101745	1.0
130627-104234	1.0
130606-144113	3.0
130709-102249	2.0
130726-100311	2.0
130628-180802	1.0
130731-121107	1.0
130614-102055	2.0
130716-160946	2.0
130728-132535	1.0
130629-165332	2.0
130715-164205	2.0
130610-161246	1.0
130612-121643	1.0
130628-134709	2.0
130712-163857	1.0
130723-162037	3.0
130620-145621	2.0
130630-115400	2.0
130710-113026	2.0
130613-122430	1.0
130618-122138	2.0
130710-092159	2.0
130602-104907	1.0
130616-191652	2.0
130726-130047	1.0
130613-110435	2.0
130614-152838	1.0
130704-111100	1.0
130715-121045	2.0
130601-194314	1.0
130606-143329	3.0
130627-113411	3.0
130716-131719	3.0
130624-174458	3.0
130622-163931	2.0
130713-154243	2.0
130717-153315	2.0
130724-175956	2.0
130629-113148	2.0
130612-110450	3.0
